Number of Students,Number of Ratings,Stars,Quality
3287,0,0,0
385,0,0,0
3528,9,4.9,1
1411,0,0,0
67586,819,4.3,2
4548,17,5,1
1193,14,4.7,1
659,0,0,0
6461,405,4.2,2
36069,358,4.3,2
11949,73,4,1
4761,16,3.4,1
12196,49,3.9,1
10256,48,4.5,1
21769,105,3.5,2
4158,20,4.7,1
4220,24,3.9,1
2,66,4.7,0
18880,744,4,2
8111,85,4.1,1
3091,0,0,0
2239,2,5,1
11050,69,4.9,1
3068,4,2.5,1
13476,47,4,1
11260,13,4,1
5020,1,1.5,0
2994,2,4.2,1
5378,1,5,1
2581,0,0,0
20146,161,4.3,2
14487,57,4.1,1
2016,26,4,1
63229,976,4.4,2
15215,56,3.3,1
62492,713,4.3,2
8078,22,4.7,1
9758,14,3.5,1
6672,22,4.8,1
3404,12,4.8,1
13426,33,4,1
7470,13,5,1
37142,888,4.1,2
6907,64,4,1
24244,100,4.3,2
2920,0,0,0
157218,3,4.4,1
96980,790,4.3,2
6508,0,0,0
3983,0,0,0
6705,0,0,0
3809,9,5,1
6435,13,4.2,1
65666,488,4.3,2
1705,1,4,1
6406,8,5,1
1642,6,4.6,1
17373,567,4.1,2
8240,327,4.3,2
16297,81,3.9,2
57522,476,4.4,2
66897,366,4.3,2
11733,5,3.3,1
11648,0,0,0
3555,39,4.5,1
16720,157,3.8,2
61529,457,4.4,2
98545,819,4.2,2
4871,364,4.3,2
18323,463,4.4,2
13892,149,3.3,2
27627,51,4.4,1
898,0,0,0
1443,7,4.6,1
90522,4,4.5,1
1235,0,0,0
1427,0,0,0
1335,0,0,0
1567,0,0,0
1519,0,0,0
1172,0,0,0
109279,1,4.2,1
73549,1,4.3,1
67078,670,4.2,2
74233,499,4.3,2
131720,2,4.3,1
8917,37,4,1
15198,9,3,1
2374,0,0,0
13115,40,4.1,1
3850,25,4.9,1
34315,745,4.5,2
23744,99,4.2,2
21231,121,3.8,2
58913,631,3.9,2
4470,0,0,0
18401,59,3.7,1
51432,1,4.2,1
6833,10,4.2,1
13303,368,4.2,2
2773,4,5,1
14926,75,4.1,1
7310,4,5,1
51932,284,4.4,2
48118,389,4.3,2
59150,210,4.1,2
53103,157,4.4,2
65399,676,4.3,2
17480,137,4.1,2
20244,466,4.1,2
2975,82,4.2,1
54200,560,4.4,2
14830,43,3.5,1
30713,97,4.2,1
3514,9,4,1
9289,27,3.5,1
9548,107,4.3,2
9454,32,4.4,1
75598,2,4.4,1
12939,851,4.1,2
103878,1,4.2,1
11008,28,3.8,1
112118,3,4.3,1
7286,11,4.1,1
11568,484,4.3,2
28767,817,4.5,2
15412,217,4.1,2
10780,600,4.3,2
6740,18,5,1
36547,2,4,1
3442,75,4.3,1
2988,6,4.5,1
13162,627,4.3,2
17585,113,4.2,2
5022,4,5,1
4250,4,5,1
7936,29,4.4,1
11353,32,4.1,1
19786,45,4.4,1
6944,48,4.6,1
8553,22,3.9,1
21034,112,4.3,2
24529,314,4.3,2
34354,172,4.1,2
3254,100,4.5,2
58322,506,3.9,2
4272,57,3.5,1
509,0,0,0
35678,208,4.2,2
115520,2,4.1,1
53841,2,4.4,1
10162,11,4.6,1
7967,25,4,1
30754,156,4.4,2
11488,20,4.6,1
10578,56,4.2,1
1886,20,4.1,1
27304,91,4.3,1
63250,860,3.8,2
25560,251,3.7,2
